tconst	directors	writers
tt0111161	nm0001104	nm0000175,nm0001104
tt0468569	nm0634240	nm0634300,nm0634240,nm0333060,nm0004170
tt1375666	nm0634240	nm0634240
tt0137523	nm0000399	nm0657333,nm0880243
tt0110912	nm0000233	nm0000233,nm0000812
tt0109830	nm0000709	nm0343165,nm0744839
tt0133093	nm0905152,nm0905154	nm0905152,nm0905154
tt0120737	nm0001392	nm0866058,nm0909638,nm0101991,nm0001392
tt0167260	nm0001392	nm0866058,nm0909638,nm0101991,nm0001392
tt0068646	nm0000338	nm0701374,nm0000338
tt1345836	nm0634240	nm0634300,nm0634240,nm0333060,nm0004170
tt0167261	nm0001392	nm0866058,nm0909638,nm0101991,nm0801728,nm0001392
tt0816692	nm0634240	nm0634300,nm0634240
tt0114369	nm0000399	nm0001825
tt1853728	nm0000233	nm0000233
tt0172495	nm0000631	nm0291905,nm0517589,nm0629933
tt0372784	nm0634240	nm0004170,nm0333060,nm0634240
tt0848228	nm0923736	nm0923736,nm0672015
tt0102926	nm0001129	nm0365383,nm0848217
tt0361748	nm0000233	nm0000233
tt0076759	nm0000184	nm0000184
tt0120815	nm0000229	nm0734441
tt0108052	nm0000229	nm0447745,nm0001873
tt0407887	nm0000217	nm1184258,nm0538320,nm0159039
tt0482571	nm0634240	nm0634300,nm0634240,nm1793993
tt0080684	nm0449984	nm0102824,nm0001410,nm0000184
tt0993846	nm0000217	nm1010540,nm0067789
tt0499549	nm0000116	nm0000116
tt0120689	nm0001104	nm0000175,nm0001104
tt0209144	nm0634240	nm0634240,nm0634300
tt0071562	nm0000338	nm0000338,nm0701374
tt1130884	nm0000217	nm0436164,nm1212331
tt0169547	nm0005222	nm0050332
tt2015381	nm0348181	nm0348181,nm2270979,nm3966115,nm5037683,nm2757098,nm0317493,nm4160687,nm1921680,nm3238648,nm0314153,nm0562554
tt0120338	nm0000116	nm0000116
tt0120586	nm0443411	nm0571346
tt0325980	nm0893659	nm0254645,nm0744429,nm0064181,nm0938684
