tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0111161	movie	The Shawshank Redemption	The Shawshank Redemption	0	1994	\N	142	Drama
tt0468569	movie	The Dark Knight	The Dark Knight	0	2008	\N	152	Action,Crime,Drama
tt1375666	movie	Inception	Inception	0	2010	\N	148	Action,Adventure,Sci-Fi
tt0137523	movie	Fight Club	Fight Club	0	1999	\N	139	Drama
tt0110912	movie	Pulp Fiction	Pulp Fiction	0	1994	\N	154	Crime,Drama
tt0109830	movie	Forrest Gump	Forrest Gump	0	1994	\N	142	Drama,Romance
tt0133093	movie	The Matrix	The Matrix	0	1999	\N	136	Action,Sci-Fi
tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	0	2001	\N	178	Adventure,Drama,Fantasy
tt0167260	movie	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	0	2003	\N	201	Adventure,Drama,Fantasy
tt0068646	movie	The Godfather	The Godfather	0	1972	\N	175	Crime,Drama
tt1345836	movie	The Dark Knight Rises	The Dark Knight Rises	0	2012	\N	164	Action,Thriller
tt0167261	movie	The Lord of the Rings: The Two Towers	The Lord of the Rings: The Two Towers	0	2002	\N	179	Adventure,Drama,Fantasy
tt0816692	movie	Interstellar	Interstellar	0	2014	\N	169	Adventure,Drama,Sci-Fi
tt0114369	movie	Se7en	Se7en	0	1995	\N	127	Crime,Drama,Mystery
tt1853728	movie	Django Unchained	Django Unchained	0	2012	\N	165	Drama,Western
tt0172495	movie	Gladiator	Gladiator	0	2000	\N	155	Action,Adventure,Drama
tt0372784	movie	Batman Begins	Batman Begins	0	2005	\N	140	Action,Adventure
tt0848228	movie	The Avengers	The Avengers	0	2012	\N	143	Action,Adventure,Sci-Fi
tt0102926	movie	The Silence of the Lambs	The Silence of the Lambs	0	1991	\N	118	Crime,Drama,Thriller
tt0361748	movie	Inglourious Basterds	Inglourious Basterds	0	2009	\N	153	Adventure,Drama,War
tt0076759	movie	Star Wars: Episode IV - A New Hope	Star Wars	0	1977	\N	121	Action,Adventure,Fantasy
tt0120815	movie	Saving Private Ryan	Saving Private Ryan	0	1998	\N	169	Drama,War
tt0108052	movie	Schindler's List	Schindler's List	0	1993	\N	195	Biography,Drama,History
tt0407887	movie	The Departed	The Departed	0	2006	\N	151	Crime,Drama,Thriller
tt0482571	movie	The Prestige	The Prestige	0	2006	\N	130	Drama,Mystery,Sci-Fi
tt0080684	movie	Star Wars: Episode V - The Empire Strikes Back	Star Wars: Episode V - The Empire Strikes Back	0	1980	\N	124	Action,Adventure,Fantasy
tt0993846	movie	The Wolf of Wall Street	The Wolf of Wall Street	0	2013	\N	180	Biography,Crime,Drama
tt0499549	movie	Avatar	Avatar	0	2009	\N	162	Action,Adventure,Fantasy
tt0120689	movie	The Green Mile	The Green Mile	0	1999	\N	189	Crime,Drama,Fantasy
tt0209144	movie	Memento	Memento	0	2000	\N	113	Mystery,Thriller
tt0071562	movie	The Godfather: Part II	The Godfather: Part II	0	1974	\N	202	Crime,Drama
tt1130884	movie	Shutter Island	Shutter Island	0	2010	\N	138	Mystery,Thriller
tt0169547	movie	American Beauty	American Beauty	0	1999	\N	122	Drama
tt2015381	movie	Guardians of the Galaxy	Guardians of the Galaxy	0	2014	\N	121	Action,Adventure,Comedy
tt0120338	movie	Titanic	Titanic	0	1997	\N	194	Drama,Romance
tt0120586	movie	American History X	American History X	0	1998	\N	119	Drama
tt0325980	movie	Pirates of the Caribbean: The Curse of the Black Pearl	Pirates of the Caribbean: The Curse of the Black Pearl	0	2003	\N	143	Action,Adventure,Fantasy
tt0434409	movie	V for Vendetta	V for Vendetta	0	2005	\N	132	Action,Drama,Sci-Fi
tt0088763	movie	Back to the Future	Back to the Future	0	1985	\N	116	Adventure,Comedy,Sci-Fi
tt0110413	movie	Léon: The Professional	Léon	0	1994	\N	110	Action,Crime,Drama
tt0099685	movie	Goodfellas	Goodfellas	0	1990	\N	146	Biography,Crime,Drama
tt0103064	movie	Terminator 2: Judgment Day	Terminator 2: Judgment Day	0	1991	\N	137	Action,Sci-Fi
tt0266697	movie	Kill Bill: Vol. 1	Kill Bill: Vol. 1	0	2003	\N	111	Action,Crime,Thriller
tt0910970	movie	WALL·E	WALL·E	0	2008	\N	98	Adventure,Animation,Family
tt0114814	movie	The Usual Suspects	The Usual Suspects	0	1995	\N	106	Crime,Mystery,Thriller
tt0112573	movie	Braveheart	Braveheart	0	1995	\N	178	Biography,Drama,History
tt0086190	movie	Star Wars: Episode VI - Return of the Jedi	Star Wars: Episode VI - Return of the Jedi	0	1983	\N	131	Action,Adventure,Fantasy
tt0266543	movie	Finding Nemo	Finding Nemo	0	2003	\N	100	Adventure,Animation,Comedy
tt0371746	movie	Iron Man	Iron Man	0	2008	\N	126	Action,Adventure,Sci-Fi
tt0110357	movie	The Lion King	The Lion King	0	1994	\N	88	Adventure,Animation,Drama
tt1049413	movie	Up	Up	0	2009	\N	96	Adventure,Animation,Comedy
tt0120382	movie	The Truman Show	The Truman Show	0	1998	\N	103	Comedy,Drama,Sci-Fi
tt0167404	movie	The Sixth Sense	The Sixth Sense	0	1999	\N	107	Drama,Mystery,Thriller
tt0105236	movie	Reservoir Dogs	Reservoir Dogs	0	1992	\N	99	Crime,Drama,Thriller
tt0073486	movie	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	0	1975	\N	133	Drama
tt1431045	movie	Deadpool	Deadpool	0	2016	\N	108	Action,Adventure,Comedy
tt0338013	movie	Eternal Sunshine of the Spotless Mind	Eternal Sunshine of the Spotless Mind	0	2004	\N	108	Drama,Romance,Sci-Fi
tt0082971	movie	Raiders of the Lost Ark	Raiders of the Lost Ark	0	1981	\N	115	Action,Adventure
tt0114709	movie	Toy Story	Toy Story	0	1995	\N	81	Adventure,Animation,Comedy
tt0081505	movie	The Shining	The Shining	0	1980	\N	146	Drama,Horror
tt2488496	movie	Star Wars: Episode VII - The Force Awakens	Star Wars: Episode VII - The Force Awakens	0	2015	\N	138	Action,Adventure,Sci-Fi
tt1392190	movie	Mad Max: Fury Road	Mad Max: Fury Road	0	2015	\N	120	Action,Adventure,Sci-Fi
tt0107290	movie	Jurassic Park	Jurassic Park	0	1993	\N	127	Action,Adventure,Sci-Fi
tt1392170	movie	The Hunger Games	The Hunger Games	0	2012	\N	142	Action,Adventure,Sci-Fi
