nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000033	Alfred Hitchcock	1899	1980	director,producer,actor	tt0053125,tt0054215,tt0052357,tt0040746
nm0000037	Gene Kelly	1912	1996	actor,soundtrack,director	tt0043278,tt0045152,tt0041716,tt0053946
nm0000040	Stanley Kubrick	1928	1999	director,writer,producer	tt0062622,tt0120663,tt0066921,tt0072684
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0057565,tt0051808,tt0089881,tt0080979
nm0000080	Orson Welles	1915	1985	actor,director,writer	tt0052311,tt0057427,tt0033467,tt0038991
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0079470,tt0071853,tt0095159,tt0085959
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0118954,tt0075686,tt0079522,tt0097123
nm0000101	Dan Aykroyd	1952	\N	writer,actor,producer	tt0080455,tt0087332,tt0097428,tt0118747
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt2872732,tt0100263,tt0110413,tt0119116
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt3402236,tt0116477,tt0097499,tt0107616
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0103064,tt0499549,tt0090605,tt0120338
nm0000118	John Carpenter	1948	\N	soundtrack,writer,music_department	tt0093777,tt0077651,tt0082340,tt0080749
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0120382,tt0338013,tt0315327,tt0109040
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0044837,tt0027977,tt0039631,tt0032553
nm0000123	George Clooney	1961	\N	actor,producer,director	tt1124035,tt0433383,tt1193138,tt0465538
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0099348,tt0102798,tt0103855,tt0119925
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0117571,tt0087800,tt0105121,tt0111686
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt1205489,tt0405159,tt0112579,tt0105695
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0112573,tt0104714,tt0120784,tt0117438
nm0000160	Ethan Hawke	1970	\N	actor,writer,soundtrack	tt0112471,tt0381681,tt2209418,tt0139654
nm0000165	Ron Howard	1954	\N	actor,producer,director	tt0268978,tt0088933,tt0367279,tt0112384
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0120689,tt0091499,tt0083767,tt0111161
nm0000180	David Lean	1908	1991	editor,director,writer	tt0059113,tt0056172,tt0050212,tt0087892
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0082971,tt0066434,tt0069704,tt0076759
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0105665,tt0166924,tt0098936,tt0460829
nm0000196	Mike Myers	1963	\N	actor,writer,soundtrack	tt0811138,tt0145660,tt0295178,tt0118655
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0099685,tt0075314,tt0070379,tt0106226
nm0000226	Will Smith	1968	\N	music_department,actor,producer	tt0120891,tt0480249,tt0098800,tt0119654
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0120815,tt0082971,tt0083866,tt0108052
nm0000230	Sylvester Stallone	1946	\N	actor,writer,producer	tt3076658,tt0084602,tt0089927,tt0075148
nm0000231	Oliver Stone	1946	\N	producer,director,writer	tt0096969,tt0091763,tt0110632,tt0102138
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt0110912,tt3460252,tt0105236,tt0116367
