tconst	averageRating	numVotes
tt0111161	9.3	2182398
tt0468569	9.0	2165600
tt1375666	8.8	1914224
tt0137523	8.8	1743179
tt0110912	8.9	1714319
tt0109830	8.8	1682484
tt0133093	8.7	1571306
tt0120737	8.8	1564513
tt0167260	8.9	1552586
tt0068646	9.2	1503358
tt1345836	8.4	1434712
tt0167261	8.7	1401482
tt0816692	8.6	1367682
tt0114369	8.6	1343135
tt1853728	8.4	1263608
tt0172495	8.5	1259956
tt0372784	8.2	1236770
tt0848228	8.0	1214913
tt0102926	8.6	1183426
tt0361748	8.3	1176444
tt0076759	8.6	1168285
tt0120815	8.6	1156881
tt0108052	8.9	1139174
tt0407887	8.5	1116079
tt0482571	8.5	1106918
tt0080684	8.7	1096082
tt0993846	8.2	1084020
tt0499549	7.8	1075013
tt0120689	8.6	1063603
tt0209144	8.4	1061823
tt0071562	9.0	1052744
tt1130884	8.1	1048007
tt0169547	8.3	1017977
tt2015381	8.0	991817
tt0120338	7.8	989553
tt0120586	8.5	982694
tt0325980	8.0	982206
tt0434409	8.2	978478
tt0088763	8.5	976565
tt0110413	8.5	966522
tt0099685	8.7	948476
tt0103064	8.5	944394
tt0266697	8.1	942072
tt0910970	8.4	941144
tt0114814	8.5	936656
tt0112573	8.3	916290
tt0086190	8.3	898723
tt0266543	8.1	898492
tt0371746	7.9	894997
tt0110357	8.5	882120
tt1049413	8.2	878967
tt0120382	8.1	870615
tt0167404	8.1	868543
tt0105236	8.3	863262
tt0073486	8.7	860888
tt1431045	8.0	855001
tt0338013	8.3	852974
tt0082971	8.4	838270
tt0114709	8.3	832443
tt0081505	8.4	828782
tt2488496	7.9	823433
tt1392190	8.1	815662
tt0107290	8.1	810900
tt1392170	7.2	810746
tt0119217	8.3	799917
tt0268978	8.2	797834
tt0477348	8.1	795031
tt2267998	8.1	794115
tt0198781	8.0	768294
tt1010048	8.0	765054
tt0088247	8.0	759422
tt0264464	8.1	756823
tt0095016	8.2	746416
tt4154756	8.5	741427
tt0208092	8.3	741148
tt0078748	8.4	741127
tt1454468	7.7	732685
tt0903624	7.8	732544
tt0401792	8.0	724330
tt0180093	8.3	723282
tt1300854	7.2	718192
tt1201607	8.1	715901
tt0435761	8.3	714835
tt0066921	8.3	714566
tt0246578	8.0	712716
tt3659388	8.0	710727
tt0800369	7.0	709006
tt0416449	7.6	707051
tt1675434	8.5	706493
tt0458339	6.9	698010
tt2395427	7.3	696881
tt1843866	7.7	695240
tt0086250	8.3	690902
tt0120915	6.5	689206
tt1205489	8.1	687777
tt1119646	7.7	687110
tt0118715	8.1	685980
tt1228705	7.0	683886
tt0253474	8.5	673667
tt0121766	7.5	671419
tt0075314	8.3	671078
tt0211915	8.3	670705
tt0947798	8.0	667170
tt0317248	8.6	664821
tt0770828	7.1	663596
tt2278388	8.1	658029
tt0145487	7.3	657856
tt0097576	8.2	655119
tt1663202	8.0	653423
tt2582802	8.5	652577
tt0083658	8.1	652087
tt0480249	7.2	651670
tt4154796	8.5	650218
tt0060196	8.8	647540
tt0378194	8.0	643416
tt2084970	8.0	641453
tt1877832	8.0	636732
tt0050083	8.9	635728
tt1045658	7.7	634694
tt0093058	8.3	633604
tt0892769	8.1	631119
tt0383574	7.3	627903
tt1270798	7.7	624216
tt0317705	8.0	624110
tt7286456	8.6	622678
tt0090605	8.3	619886
tt3498820	7.8	617471
tt1136608	7.9	617029
tt1504320	8.0	610245
tt0117951	8.1	606216
tt1074638	7.7	605444
tt0121765	6.5	604183
tt0405159	8.1	603043
tt0382932	8.0	602143
tt2024544	8.1	598840
tt3315342	8.1	596187
tt2975590	6.5	595019
tt0241527	7.6	592551
tt0457430	8.2	588526
tt1951264	7.5	588181
tt0440963	8.0	587692
tt1285016	7.7	585335
tt0245429	8.6	584297
tt0126029	7.8	582103
tt0116282	8.1	580062
tt0418279	7.0	579070
tt1170358	7.8	578177
tt0118799	8.6	577919
tt0449088	7.1	570336
tt0816711	7.0	569669
tt0078788	8.4	569191
tt1670345	7.3	567814
tt1631867	7.9	565749
tt0062622	8.3	564414
tt2096673	8.2	564181
tt0796366	7.9	563934
tt1981115	6.9	563170
tt2802144	7.7	562053
tt0054215	8.5	561179
tt1825683	7.3	560945
tt0988045	7.6	560488
tt1386697	6.0	559702
tt0421715	7.8	555468
tt0369610	7.0	554472
tt0107048	8.0	553486
tt0381061	8.0	552817
tt0454876	7.9	552126
tt0114746	8.0	551367
tt1211837	7.5	550666
tt1392214	8.1	550620
tt1637725	6.9	549925
tt0120903	7.4	549622
tt1446714	7.0	549506
tt1024648	7.7	548313
tt0936501	7.8	547782
tt2543164	7.9	545509
tt2294629	7.5	542147
tt2562232	7.7	541882
tt0113277	8.2	541397
tt0758758	8.1	539821
tt0780504	7.8	539331
tt0948470	6.9	538571
tt0478970	7.3	530752
tt3501632	7.9	529391
tt0073195	8.0	522056
tt3896198	7.6	520632
tt2527336	7.0	520487
tt0316654	7.3	516823
tt3748528	7.8	515794
tt0451279	7.4	514101
tt0295297	7.4	513030
tt1276104	7.4	512942
tt0304141	7.9	509860
tt1250777	7.6	508387
tt0330373	7.7	508261
tt0116629	7.0	507359
tt0120735	8.2	506843
tt0119488	8.2	506829
tt1219289	7.4	505378
tt0829482	7.6	497311
tt5013056	7.9	496673
tt0120363	7.9	496418
tt1798709	8.0	495199
tt0290334	7.4	493169
tt2911666	7.4	492626
tt0034583	8.5	492153
tt0119654	7.3	492153
tt0234215	7.2	491812
tt1156398	7.6	491570
tt0332280	7.8	489925
tt1232829	7.2	489686
tt0075148	8.1	489274
tt0162222	7.8	489065
tt0240772	7.8	487002
tt0258463	7.9	485808
tt0365748	7.9	485624
tt0181689	7.6	482377
tt1318514	7.6	481619
tt0469494	8.2	480542
tt0364569	8.4	478133
tt1323594	7.6	477920
tt0409459	7.6	477818
tt0343818	7.1	477670
tt0071853	8.2	476212
tt0413300	6.2	475756
tt0467406	7.4	474559
tt0450259	8.0	474502
tt0373889	7.5	472738
tt3460252	7.8	472374
tt2250912	7.4	468574
tt1483013	7.0	465604
tt0332452	7.2	465378
tt0376994	6.7	465034
tt0945513	7.5	463719
tt3783958	8.0	461277
tt1298650	6.6	459553
tt0095953	8.0	452403
tt1408101	7.7	451991
tt1022603	7.7	451987
tt1663662	6.9	451964
tt2310332	7.4	451383
tt0144084	7.6	450898
tt0458525	6.6	449030
tt1343092	7.2	448383
tt1570728	7.4	448142
tt0096874	7.8	445597
tt1411697	6.4	444026
tt0926084	7.7	443279
tt0470752	7.7	441750
tt0206634	7.9	440216
tt5052448	7.7	439769
tt0425112	7.8	439210
tt0099785	7.6	438892
tt1229238	7.4	438515
tt0417741	7.6	437026
tt1659337	8.0	433539
tt5463162	7.7	433451
tt0112641	8.2	432460
tt0289879	7.6	432211
tt0356910	6.5	429613
tt1800241	7.2	428717
tt0057012	8.4	427361
tt0242653	6.7	427030
tt0099487	7.9	426007
tt2872718	7.9	425223
tt0448157	6.4	424612
tt0087469	7.6	421094
tt0449059	7.8	419801
tt0454921	8.0	419225
tt1396484	7.3	417976
tt0268380	7.5	417450
tt2872732	6.4	416692
tt0372183	7.7	416305
tt1457767	7.5	415781
tt0800080	6.7	414743
tt2179136	7.3	414727
tt0790636	8.0	414665
tt0047396	8.4	414581
tt1291584	8.2	414195
tt0119116	7.7	414194
tt0443706	7.7	414135
tt1430132	6.7	412396
tt1856101	8.0	409766
tt1840309	6.7	408507
tt0375679	7.8	407059
tt1979320	8.1	406815
tt1499658	6.9	406778
tt0314331	7.6	406704
tt1535108	6.6	404808
tt0367882	6.1	404773
tt1454029	8.1	403947
